latitude,longitude,current_speed_knots,current_direction_deg,sea_surface_temp_c,salinity_psu,source,timestamp
-72.0,0.0,0.55,281.1,-1.9,34.26,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,1.0,0.59,271.6,-1.9,34.14,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,2.0,0.79,264.1,-1.9,34.21,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,3.0,0.77,279.3,-1.9,34.44,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,4.0,0.44,254.2,-1.9,34.41,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,5.0,0.45,281.3,-1.9,33.92,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,6.0,0.66,263.3,-1.9,34.38,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,7.0,0.44,267.3,-1.9,34.23,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,8.0,0.51,296.0,-1.9,34.4,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,9.0,0.65,272.8,-1.9,34.14,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,10.0,0.84,254.2,-1.9,34.16,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,11.0,0.56,290.6,-1.9,34.25,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,12.0,0.75,268.9,-1.9,34.23,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
-72.0,13.0,0.5,275.1,-1.9,34.23,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.827683
