latitude,longitude,air_temp_c,wind_speed_knots,wind_direction_deg,wave_height_m,wave_period_s,pressure_hpa,visibility_km,precipitation_mm,source,timestamp
-72.0,0.0,-22.1,28.5,154.1,0.5,7.6,975.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,1.0,-23.4,27.0,143.2,0.5,7.6,978.6,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,2.0,-25.3,30.6,140.0,0.5,7.6,967.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,3.0,-25.4,25.6,135.2,0.5,7.6,966.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,4.0,-21.6,30.7,143.0,0.5,7.6,972.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,5.0,-23.5,27.9,129.9,0.5,7.6,967.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,6.0,-22.2,26.0,121.0,0.5,7.6,967.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,7.0,-24.0,28.0,163.8,0.5,7.6,966.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,8.0,-20.8,28.5,107.5,0.5,7.6,974.4,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,9.0,-24.8,25.2,135.1,0.5,7.6,962.8,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,10.0,-23.1,28.9,163.8,0.5,7.6,969.3,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,11.0,-23.9,37.3,122.1,0.6,7.7,972.2,4.0,1.5,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
-72.0,12.0,-23.0,15.8,150.2,0.4,7.5,970.5,12.0,0.0,DEMO DATA — NOT FOR REAL-WORLD NAVIGATION,2026-09-21T13:29:46.824674
